id,category,arm,repeat,wall_s,server_prompt_ms,server_predicted_ms,http_calls,scoring_calls,chunk_calls,wasted_tokens,tokens,held_fraction,divergences,correct,analytic_speedup
code-fix-sort-order-bug,code_review,baseline,0,2.7731,18.73,2753.68,1,0,0,0,176,,,pass,1.0
code-fix-sort-order-bug,code_review,"entropy_floor:tau=3.0,floor=1.0",0,3.5407,582.83,2885.78,8,1,7,0,142,0.0493,2,pass,0.9793
code-fix-sort-order-bug,code_review,baseline,1,2.7741,18.63,2754.77,1,0,0,0,176,,,pass,1.0
code-fix-sort-order-bug,code_review,"entropy_floor:tau=3.0,floor=1.0",1,3.5359,577.66,2887.52,8,1,7,0,142,0.0493,2,pass,0.9793
code-fix-sort-order-bug,code_review,baseline,2,2.7727,18.67,2753.41,1,0,0,0,176,,,pass,1.0
code-fix-sort-order-bug,code_review,"entropy_floor:tau=3.0,floor=1.0",2,3.5311,568.47,2892.26,8,1,7,0,142,0.0493,2,pass,0.9793
code-fix-dedupe-condition-bug,code_review,baseline,0,3.3988,18.36,3379.69,1,0,0,0,215,,,pass,1.0
code-fix-dedupe-condition-bug,code_review,"entropy_floor:tau=3.0,floor=1.0",0,3.4477,573.19,2803.16,8,1,7,0,134,0.0149,1,pass,0.9781
code-fix-dedupe-condition-bug,code_review,baseline,1,3.4231,18.79,3403.68,1,0,0,0,215,,,pass,1.0
code-fix-dedupe-condition-bug,code_review,"entropy_floor:tau=3.0,floor=1.0",1,3.467,571.38,2823.91,8,1,7,0,134,0.0149,1,pass,0.9781
code-fix-dedupe-condition-bug,code_review,baseline,2,3.4304,18.77,3410.76,1,0,0,0,215,,,pass,1.0
code-fix-dedupe-condition-bug,code_review,"entropy_floor:tau=3.0,floor=1.0",2,3.4835,587.82,2824.6,8,1,7,0,134,0.0149,1,pass,0.9781
doc-change-decade,doc_summary,baseline,0,1.1616,18.97,1142.01,1,0,0,0,73,,,pass,1.0
doc-change-decade,doc_summary,"entropy_floor:tau=3.0,floor=1.0",0,0.8732,776.04,69.04,3,2,1,0,72,0.9444,1,pass,5.5385
doc-change-decade,doc_summary,baseline,1,1.1633,18.63,1143.98,1,0,0,0,73,,,pass,1.0
doc-change-decade,doc_summary,"entropy_floor:tau=3.0,floor=1.0",1,0.8725,775.57,69.02,3,2,1,0,72,0.9444,1,pass,5.5385
doc-change-decade,doc_summary,baseline,2,1.1562,18.45,1137.0,1,0,0,0,73,,,pass,1.0
doc-change-decade,doc_summary,"entropy_floor:tau=3.0,floor=1.0",2,0.8757,779.04,68.47,3,2,1,0,72,0.9444,1,pass,5.5385
doc-change-shrink-fraction,doc_summary,baseline,0,1.148,19.08,1128.27,1,0,0,0,72,,,pass,1.0
doc-change-shrink-fraction,doc_summary,"entropy_floor:tau=3.0,floor=1.0",0,0.8112,715.07,67.75,3,2,1,0,81,0.9383,1,pass,5.7857
doc-change-shrink-fraction,doc_summary,baseline,1,1.1465,18.64,1127.19,1,0,0,0,72,,,pass,1.0
doc-change-shrink-fraction,doc_summary,"entropy_floor:tau=3.0,floor=1.0",1,0.8094,714.19,67.28,3,2,1,0,81,0.9383,1,pass,5.7857
doc-change-shrink-fraction,doc_summary,baseline,2,1.147,18.94,1127.38,1,0,0,0,72,,,pass,1.0
doc-change-shrink-fraction,doc_summary,"entropy_floor:tau=3.0,floor=1.0",2,0.8157,718.75,68.88,3,2,1,0,81,0.9383,1,pass,5.7857
fact-third-country-overtakes,fact_answer,baseline,0,0.4952,19.04,475.51,1,0,0,0,31,,,pass,1.0
fact-third-country-overtakes,fact_answer,"entropy_floor:tau=3.0,floor=1.0",0,0.7467,410.94,295.26,5,2,3,0,30,0.5333,3,pass,1.0345
fact-third-country-overtakes,fact_answer,baseline,1,0.4931,18.61,473.65,1,0,0,0,31,,,pass,1.0
fact-third-country-overtakes,fact_answer,"entropy_floor:tau=3.0,floor=1.0",1,0.7431,407.72,295.18,5,2,3,0,30,0.5333,3,pass,1.0345
fact-third-country-overtakes,fact_answer,baseline,2,0.4935,18.71,474.16,1,0,0,0,31,,,pass,1.0
fact-third-country-overtakes,fact_answer,"entropy_floor:tau=3.0,floor=1.0",2,0.7443,408.27,295.97,5,2,3,0,30,0.5333,3,pass,1.0345
