id,category,arm,repeat,wall_s,server_prompt_ms,server_predicted_ms,http_calls,scoring_calls,tokens,held_fraction,divergences,correct,analytic_speedup
code-rename-var,code_review,baseline,0,0.5691,34.86,533.41,1,0,35,,,,1.0
code-rename-var,code_review,tau=0.0,0,5.7298,5423.76,0.02,24,2,34,0.3235,2,,1.0303
code-rename-var,code_review,tau=3.0,0,2.7952,2714.47,0.01,6,3,101,0.9604,1,,6.7333
code-rename-var,code_review,baseline,1,0.5638,38.05,524.67,1,0,35,,,,1.0
code-rename-var,code_review,tau=0.0,1,6.2938,5943.25,0.02,24,2,34,0.3235,2,,1.0303
code-rename-var,code_review,tau=3.0,1,2.7754,2690.43,0.01,6,3,101,0.9604,1,,6.7333
code-rename-var,code_review,baseline,2,0.6073,37.95,568.5,1,0,35,,,,1.0
code-rename-var,code_review,tau=0.0,2,6.1756,5829.42,0.02,24,2,34,0.3235,2,,1.0303
code-rename-var,code_review,tau=3.0,2,2.7914,2707.44,0.01,6,3,101,0.9604,1,,6.7333
code-introduce-bug,code_review,baseline,0,0.9094,36.47,872.01,1,0,60,,,,1.0
code-introduce-bug,code_review,tau=0.0,0,10.3745,9643.15,0.05,53,2,65,0.2,2,,1.0484
code-introduce-bug,code_review,tau=3.0,0,41.3903,39120.64,0.18,179,2,218,0.1835,2,,1.1474
code-introduce-bug,code_review,baseline,1,0.8878,48.65,838.26,1,0,60,,,,1.0
code-introduce-bug,code_review,tau=0.0,1,10.0204,9329.08,0.05,53,2,65,0.2,2,,1.0484
code-introduce-bug,code_review,tau=3.0,1,41.2106,38962.67,0.18,179,2,218,0.1835,2,,1.1474
code-introduce-bug,code_review,baseline,2,0.8915,51.84,838.82,1,0,60,,,,1.0
code-introduce-bug,code_review,tau=0.0,2,9.6781,9012.73,0.05,53,2,65,0.2,2,,1.0484
code-introduce-bug,code_review,tau=3.0,2,41.3537,39104.2,0.18,179,2,218,0.1835,2,,1.1474
code-add-guard,code_review,baseline,0,1.0226,35.48,986.38,1,0,70,,,,1.0
code-add-guard,code_review,tau=0.0,0,11.9977,11191.72,0.06,62,4,73,0.1644,3,,1.0139
code-add-guard,code_review,tau=3.0,0,11.1327,10309.5,0.05,54,4,68,0.2206,3,,1.0625
code-add-guard,code_review,baseline,1,1.0545,38.38,1015.35,1,0,70,,,,1.0
code-add-guard,code_review,tau=0.0,1,12.1594,11343.38,0.06,62,4,73,0.1644,3,,1.0139
code-add-guard,code_review,tau=3.0,1,10.6786,9975.12,0.05,54,4,68,0.2206,3,,1.0625
code-add-guard,code_review,baseline,2,1.0383,38.13,999.18,1,0,70,,,,1.0
code-add-guard,code_review,tau=0.0,2,13.1484,12245.05,0.06,62,4,73,0.1644,3,,1.0139
code-add-guard,code_review,tau=3.0,2,10.7526,10047.72,0.05,54,4,68,0.2206,3,,1.0625
code-reformat-whitespace,code_review,baseline,0,0.3993,36.18,362.21,1,0,24,,,,1.0
code-reformat-whitespace,code_review,tau=0.0,0,2.0234,1869.4,0.01,11,2,23,0.5652,1,,1.15
code-reformat-whitespace,code_review,tau=3.0,0,0.3834,370.22,0.0,1,1,18,1.0,0,,9.0
code-reformat-whitespace,code_review,baseline,1,0.398,48.64,348.48,1,0,24,,,,1.0
code-reformat-whitespace,code_review,tau=0.0,1,2.0233,1870.57,0.01,11,2,23,0.5652,1,,1.15
code-reformat-whitespace,code_review,tau=3.0,1,0.3794,364.75,0.0,1,1,18,1.0,0,,9.0
code-reformat-whitespace,code_review,baseline,2,0.3975,49.59,346.99,1,0,24,,,,1.0
code-reformat-whitespace,code_review,tau=0.0,2,2.008,1855.67,0.01,11,2,23,0.5652,1,,1.15
code-reformat-whitespace,code_review,tau=3.0,2,0.3796,366.32,0.0,1,1,18,1.0,0,,9.0
code-add-typehints,code_review,baseline,0,0.3347,36.92,296.91,1,0,19,,,,1.0
code-add-typehints,code_review,tau=0.0,0,1.2456,1149.01,0.01,5,2,18,0.7778,1,,1.8
code-add-typehints,code_review,tau=3.0,0,0.5244,504.95,0.0,1,1,18,1.0,0,,9.0
code-add-typehints,code_review,baseline,1,0.3466,56.84,288.87,1,0,19,,,,1.0
code-add-typehints,code_review,tau=0.0,1,1.4068,1301.4,0.01,5,2,18,0.7778,1,,1.8
code-add-typehints,code_review,tau=3.0,1,0.3794,365.66,0.0,1,1,18,1.0,0,,9.0
code-add-typehints,code_review,baseline,2,0.3317,54.23,276.58,1,0,19,,,,1.0
code-add-typehints,code_review,tau=0.0,2,1.0116,944.51,0.01,5,2,18,0.7778,1,,1.8
code-add-typehints,code_review,tau=3.0,2,0.3703,357.14,0.0,1,1,18,1.0,0,,9.0
code-break-logic,code_review,baseline,0,2.5182,40.42,2476.83,1,0,154,,,,1.0
code-break-logic,code_review,tau=0.0,0,11.7133,10818.01,0.07,67,1,69,0.0435,1,,0.9718
code-break-logic,code_review,tau=3.0,0,11.8404,10960.32,0.07,67,1,69,0.0435,1,,0.9718
code-break-logic,code_review,baseline,1,4.455,35.75,4418.38,1,0,154,,,,1.0
code-break-logic,code_review,tau=0.0,1,13.2348,12356.46,0.07,67,1,69,0.0435,1,,0.9718
code-break-logic,code_review,tau=3.0,1,14.2049,13344.64,0.07,67,1,69,0.0435,1,,0.9718
code-break-logic,code_review,baseline,2,8.4536,41.91,8410.67,1,0,154,,,,1.0
code-break-logic,code_review,tau=0.0,2,14.7797,13931.95,0.07,67,1,69,0.0435,1,,0.9718
code-break-logic,code_review,tau=3.0,2,14.384,13508.93,0.07,67,1,69,0.0435,1,,0.9718
doc-typo-fix,doc_summary,baseline,0,11.4059,66.51,11338.55,1,0,86,,,,1.0
doc-typo-fix,doc_summary,tau=0.0,0,15.3672,14625.06,0.06,59,6,85,0.3176,6,,0.9659
doc-typo-fix,doc_summary,tau=3.0,0,1.5064,1478.37,0.0,2,2,76,1.0,0,,15.2
doc-typo-fix,doc_summary,baseline,1,18.7769,37.22,18738.76,1,0,86,,,,1.0
doc-typo-fix,doc_summary,tau=0.0,1,14.7607,14029.01,0.06,59,6,85,0.3176,6,,0.9659
doc-typo-fix,doc_summary,tau=3.0,1,1.4956,1467.35,0.0,2,2,76,1.0,0,,15.2
doc-typo-fix,doc_summary,baseline,2,7.4956,37.65,7457.11,1,0,86,,,,1.0
doc-typo-fix,doc_summary,tau=0.0,2,15.1585,14407.2,0.06,59,6,85,0.3176,6,,0.9659
doc-typo-fix,doc_summary,tau=3.0,2,1.485,1457.02,0.0,2,2,76,1.0,0,,15.2
doc-append-sentence,doc_summary,baseline,0,7.122,53.93,7067.21,1,0,100,,,,1.0
doc-append-sentence,doc_summary,tau=0.0,0,17.2838,16492.31,0.06,64,6,103,0.3883,6,,1.2262
doc-append-sentence,doc_summary,tau=3.0,0,9.5553,9102.44,0.04,35,3,94,0.6383,2,,1.8431
doc-append-sentence,doc_summary,baseline,1,56.999,74.7,56923.33,1,0,100,,,,1.0
doc-append-sentence,doc_summary,tau=0.0,1,17.7472,16939.18,0.06,64,6,103,0.3883,6,,1.2262
doc-append-sentence,doc_summary,tau=3.0,1,10.4661,10022.0,0.04,35,3,94,0.6383,2,,1.8431
doc-append-sentence,doc_summary,baseline,2,3.5052,37.58,3466.72,1,0,100,,,,1.0
doc-append-sentence,doc_summary,tau=0.0,2,16.4043,15592.7,0.06,64,6,103,0.3883,6,,1.2262
doc-append-sentence,doc_summary,tau=3.0,2,9.5012,9026.38,0.04,35,3,94,0.6383,2,,1.8431
doc-reword-middle,doc_summary,baseline,0,3.2397,37.27,3201.36,1,0,93,,,,1.0
doc-reword-middle,doc_summary,tau=0.0,0,15.3019,14439.34,0.06,64,5,91,0.3077,5,,1.0341
doc-reword-middle,doc_summary,tau=3.0,0,2.2859,2217.67,0.01,5,2,76,0.9474,1,,5.4286
doc-reword-middle,doc_summary,baseline,1,3.2849,49.67,3234.46,1,0,93,,,,1.0
doc-reword-middle,doc_summary,tau=0.0,1,14.9284,14119.11,0.06,64,5,91,0.3077,5,,1.0341
doc-reword-middle,doc_summary,tau=3.0,1,2.2921,2224.95,0.01,5,2,76,0.9474,1,,5.4286
doc-reword-middle,doc_summary,baseline,2,3.2766,39.65,3235.92,1,0,93,,,,1.0
doc-reword-middle,doc_summary,tau=0.0,2,15.1967,14386.49,0.06,64,5,91,0.3077,5,,1.0341
doc-reword-middle,doc_summary,tau=3.0,2,2.32,2252.36,0.01,5,2,76,0.9474,1,,5.4286
doc-append-unrelated,doc_summary,baseline,0,2.3941,37.31,2356.0,1,0,66,,,,1.0
doc-append-unrelated,doc_summary,tau=0.0,0,10.0289,9402.75,0.04,43,4,65,0.3538,3,,1.0484
doc-append-unrelated,doc_summary,tau=3.0,0,0.848,832.59,0.0,1,1,57,1.0,0,,14.25
doc-append-unrelated,doc_summary,baseline,1,2.2628,42.28,2219.81,1,0,66,,,,1.0
doc-append-unrelated,doc_summary,tau=0.0,1,9.2025,8659.33,0.04,43,4,65,0.3538,3,,1.0484
doc-append-unrelated,doc_summary,tau=3.0,1,0.8628,847.44,0.0,1,1,57,1.0,0,,14.25
doc-append-unrelated,doc_summary,baseline,2,2.2628,38.68,2223.18,1,0,66,,,,1.0
doc-append-unrelated,doc_summary,tau=0.0,2,9.0585,8509.82,0.04,43,4,65,0.3538,3,,1.0484
doc-append-unrelated,doc_summary,tau=3.0,2,0.8567,840.7,0.0,1,1,57,1.0,0,,14.25
doc-fix-punctuation,doc_summary,baseline,0,1.9763,36.86,1938.46,1,0,58,,,,1.0
doc-fix-punctuation,doc_summary,tau=0.0,0,0.8888,873.14,0.0,1,1,57,1.0,0,,14.25
doc-fix-punctuation,doc_summary,tau=3.0,0,0.8521,836.34,0.0,1,1,57,1.0,0,,14.25
doc-fix-punctuation,doc_summary,baseline,1,2.0954,39.26,2055.1,1,0,58,,,,1.0
doc-fix-punctuation,doc_summary,tau=0.0,1,0.8803,864.77,0.0,1,1,57,1.0,0,,14.25
doc-fix-punctuation,doc_summary,tau=3.0,1,0.8538,837.8,0.0,1,1,57,1.0,0,,14.25
doc-fix-punctuation,doc_summary,baseline,2,2.0135,39.77,1973.06,1,0,58,,,,1.0
doc-fix-punctuation,doc_summary,tau=0.0,2,0.8824,866.61,0.0,1,1,57,1.0,0,,14.25
doc-fix-punctuation,doc_summary,tau=3.0,2,0.8647,848.99,0.0,1,1,57,1.0,0,,14.25
doc-change-key-fact,doc_summary,baseline,0,2.36,37.44,2321.61,1,0,62,,,pass,1.0
doc-change-key-fact,doc_summary,tau=0.0,0,5.9194,5647.71,0.02,21,3,55,0.6364,3,pass,1.5278
doc-change-key-fact,doc_summary,tau=3.0,0,3.9215,3706.12,0.02,17,2,55,0.7091,2,pass,1.9643
doc-change-key-fact,doc_summary,baseline,1,2.286,38.18,2246.95,1,0,62,,,pass,1.0
doc-change-key-fact,doc_summary,tau=0.0,1,5.938,5670.59,0.02,21,3,55,0.6364,3,pass,1.5278
doc-change-key-fact,doc_summary,tau=3.0,1,3.9407,3721.93,0.02,17,2,55,0.7091,2,pass,1.9643
doc-change-key-fact,doc_summary,baseline,2,2.1655,38.05,2126.59,1,0,62,,,pass,1.0
doc-change-key-fact,doc_summary,tau=0.0,2,6.0073,5740.67,0.02,21,3,55,0.6364,3,pass,1.5278
doc-change-key-fact,doc_summary,tau=3.0,2,4.3753,4087.73,0.02,17,2,55,0.7091,2,pass,1.9643
fact-irrelevant-row,fact_answer,baseline,0,2.9329,39.6,2892.51,1,0,83,,,pass,1.0
fact-irrelevant-row,fact_answer,tau=0.0,0,4.1931,3985.49,0.02,16,2,82,0.8171,1,pass,3.4167
fact-irrelevant-row,fact_answer,tau=3.0,0,6.9586,6630.7,0.02,23,3,120,0.825,1,pass,3.6364
fact-irrelevant-row,fact_answer,baseline,1,2.8964,39.91,2855.66,1,0,83,,,pass,1.0
fact-irrelevant-row,fact_answer,tau=0.0,1,4.2254,4021.83,0.02,16,2,82,0.8171,1,pass,3.4167
fact-irrelevant-row,fact_answer,tau=3.0,1,6.6641,6370.84,0.02,23,3,120,0.825,1,pass,3.6364
fact-irrelevant-row,fact_answer,baseline,2,2.9172,55.91,2860.56,1,0,83,,,pass,1.0
fact-irrelevant-row,fact_answer,tau=0.0,2,4.2256,4018.8,0.02,16,2,82,0.8171,1,pass,3.4167
fact-irrelevant-row,fact_answer,tau=3.0,2,6.6587,6363.18,0.02,23,3,120,0.825,1,pass,3.6364
fact-answer-changing-edit,fact_answer,baseline,0,3.9031,38.42,3863.83,1,0,114,,,pass,1.0
