id,category,arm,repeat,wall_s,server_prompt_ms,server_predicted_ms,http_calls,scoring_calls,tokens,held_fraction,divergences,correct,analytic_speedup
code-rename-var,code_review,baseline,0,0.4985,33.23,464.14,1,0,35,,,,1.0
code-rename-var,code_review,tau=0.0,0,5.4508,5147.95,0.02,24,2,34,0.3235,2,,1.0303
code-rename-var,code_review,tau=3.0,0,2.6727,2592.7,0.01,6,3,101,0.9604,1,,6.7333
code-rename-var,code_review,baseline,1,0.5265,35.29,490.38,1,0,35,,,,1.0
code-rename-var,code_review,tau=0.0,1,5.4615,5164.33,0.02,24,2,34,0.3235,2,,1.0303
code-rename-var,code_review,tau=3.0,1,2.6619,2582.5,0.01,6,3,101,0.9604,1,,6.7333
code-rename-var,code_review,baseline,2,0.5066,35.44,470.22,1,0,35,,,,1.0
code-rename-var,code_review,tau=0.0,2,5.4786,5175.55,0.02,24,2,34,0.3235,2,,1.0303
code-rename-var,code_review,tau=3.0,2,2.6542,2574.84,0.01,6,3,101,0.9604,1,,6.7333
code-introduce-bug,code_review,baseline,0,0.8538,40.67,812.34,1,0,60,,,,1.0
code-introduce-bug,code_review,tau=0.0,0,10.0407,9366.56,0.05,53,2,65,0.2,2,,1.0484
code-introduce-bug,code_review,tau=3.0,0,40.7558,38536.31,0.18,179,2,218,0.1835,2,,1.1474
code-introduce-bug,code_review,baseline,1,0.8447,46.03,797.77,1,0,60,,,,1.0
code-introduce-bug,code_review,tau=0.0,1,9.4941,8839.34,0.05,53,2,65,0.2,2,,1.0484
code-introduce-bug,code_review,tau=3.0,1,40.9543,38740.71,0.18,179,2,218,0.1835,2,,1.1474
code-introduce-bug,code_review,baseline,2,0.8483,45.99,801.35,1,0,60,,,,1.0
code-introduce-bug,code_review,tau=0.0,2,9.626,8972.62,0.05,53,2,65,0.2,2,,1.0484
code-introduce-bug,code_review,tau=3.0,2,40.7457,38525.41,0.18,179,2,218,0.1835,2,,1.1474
code-add-guard,code_review,baseline,0,1.0026,36.29,965.37,1,0,70,,,,1.0
code-add-guard,code_review,tau=0.0,0,11.9214,11128.0,0.06,62,4,73,0.1644,3,,1.0139
code-add-guard,code_review,tau=3.0,0,10.5537,9848.87,0.05,54,4,68,0.2206,3,,1.0625
code-add-guard,code_review,baseline,1,1.0155,36.1,978.41,1,0,70,,,,1.0
code-add-guard,code_review,tau=0.0,1,11.85,11054.94,0.06,62,4,73,0.1644,3,,1.0139
code-add-guard,code_review,tau=3.0,1,10.7261,10021.77,0.05,54,4,68,0.2206,3,,1.0625
code-add-guard,code_review,baseline,2,1.0763,39.2,1036.34,1,0,70,,,,1.0
code-add-guard,code_review,tau=0.0,2,11.9636,11175.71,0.06,62,4,73,0.1644,3,,1.0139
code-add-guard,code_review,tau=3.0,2,10.6733,9973.66,0.05,54,4,68,0.2206,3,,1.0625
code-reformat-whitespace,code_review,baseline,0,0.4033,39.62,362.58,1,0,24,,,,1.0
code-reformat-whitespace,code_review,tau=0.0,0,2.027,1873.59,0.01,11,2,23,0.5652,1,,1.15
code-reformat-whitespace,code_review,tau=3.0,0,0.3946,381.64,0.0,1,1,18,1.0,0,,9.0
code-reformat-whitespace,code_review,baseline,1,0.3992,47.64,350.72,1,0,24,,,,1.0
code-reformat-whitespace,code_review,tau=0.0,1,1.9834,1831.33,0.01,11,2,23,0.5652,1,,1.15
code-reformat-whitespace,code_review,tau=3.0,1,0.372,359.87,0.0,1,1,18,1.0,0,,9.0
code-reformat-whitespace,code_review,baseline,2,0.3735,53.0,319.55,1,0,24,,,,1.0
code-reformat-whitespace,code_review,tau=0.0,2,1.8817,1738.07,0.01,11,2,23,0.5652,1,,1.15
code-reformat-whitespace,code_review,tau=3.0,2,0.3553,342.96,0.0,1,1,18,1.0,0,,9.0
code-add-typehints,code_review,baseline,0,0.318,36.52,280.6,1,0,19,,,,1.0
code-add-typehints,code_review,tau=0.0,0,1.0107,943.97,0.01,5,2,18,0.7778,1,,1.8
code-add-typehints,code_review,tau=3.0,0,0.3735,360.4,0.0,1,1,18,1.0,0,,9.0
code-add-typehints,code_review,baseline,1,0.3195,52.02,266.55,1,0,19,,,,1.0
code-add-typehints,code_review,tau=0.0,1,0.9902,923.02,0.01,5,2,18,0.7778,1,,1.8
code-add-typehints,code_review,tau=3.0,1,0.3761,363.02,0.0,1,1,18,1.0,0,,9.0
code-add-typehints,code_review,baseline,2,0.3113,49.7,260.56,1,0,19,,,,1.0
code-add-typehints,code_review,tau=0.0,2,1.0146,947.18,0.01,5,2,18,0.7778,1,,1.8
code-add-typehints,code_review,tau=3.0,2,0.3876,374.01,0.0,1,1,18,1.0,0,,9.0
code-break-logic,code_review,baseline,0,2.2897,35.51,2253.22,1,0,154,,,,1.0
code-break-logic,code_review,tau=0.0,0,11.5595,10663.09,0.07,67,1,69,0.0435,1,,0.9718
code-break-logic,code_review,tau=3.0,0,11.0562,10201.58,0.07,67,1,69,0.0435,1,,0.9718
code-break-logic,code_review,baseline,1,2.2035,34.95,2167.73,1,0,154,,,,1.0
code-break-logic,code_review,tau=0.0,1,11.3429,10460.87,0.07,67,1,69,0.0435,1,,0.9718
code-break-logic,code_review,tau=3.0,1,11.2876,10412.61,0.07,67,1,69,0.0435,1,,0.9718
code-break-logic,code_review,baseline,2,2.1223,33.49,2088.0,1,0,154,,,,1.0
code-break-logic,code_review,tau=0.0,2,11.2929,10420.78,0.07,67,1,69,0.0435,1,,0.9718
code-break-logic,code_review,tau=3.0,2,11.6864,10793.29,0.07,67,1,69,0.0435,1,,0.9718
