id,category,arm,repeat,wall_s,server_prompt_ms,server_predicted_ms,http_calls,scoring_calls,tokens,held_fraction,divergences,correct,analytic_speedup
code-rename-var,code_review,baseline,0,0.5948,8.47,585.74,1,0,126,,,,1.0
code-rename-var,code_review,tau=0.0,0,9.2158,6085.14,0.43,430,9,437,0.0183,9,,0.9954
code-rename-var,code_review,tau=3.0,0,6.1131,4719.41,0.19,190,9,201,0.0597,9,,0.9853
code-rename-var,code_review,baseline,1,0.6035,8.12,594.75,1,0,126,,,,1.0
code-rename-var,code_review,tau=0.0,1,9.0362,5918.14,0.43,430,9,437,0.0183,9,,0.9954
code-rename-var,code_review,tau=3.0,1,6.0707,4679.92,0.19,190,9,201,0.0597,9,,0.9853
code-rename-var,code_review,baseline,2,0.5965,8.65,587.19,1,0,126,,,,1.0
code-rename-var,code_review,tau=0.0,2,9.2619,6088.09,0.43,430,9,437,0.0183,9,,0.9954
code-rename-var,code_review,tau=3.0,2,6.2975,4876.68,0.19,190,9,201,0.0597,9,,0.9853
code-introduce-bug,code_review,baseline,0,1.0854,9.95,1074.75,1,0,225,,,,1.0
code-introduce-bug,code_review,tau=0.0,0,9.331,6823.95,0.34,336,13,355,0.0563,13,,0.9621
code-introduce-bug,code_review,tau=3.0,0,5.5672,4745.9,0.11,109,9,143,0.2448,9,,1.007
code-introduce-bug,code_review,baseline,1,1.0522,8.01,1043.51,1,0,225,,,,1.0
code-introduce-bug,code_review,tau=0.0,1,9.3461,6869.61,0.34,336,13,355,0.0563,13,,0.9621
code-introduce-bug,code_review,tau=3.0,1,5.4172,4592.39,0.11,109,9,143,0.2448,9,,1.007
code-introduce-bug,code_review,baseline,2,1.0714,9.64,1061.02,1,0,225,,,,1.0
code-introduce-bug,code_review,tau=0.0,2,9.3608,6846.57,0.34,336,13,355,0.0563,13,,0.9621
code-introduce-bug,code_review,tau=3.0,2,5.5311,4690.83,0.11,109,9,143,0.2448,9,,1.007
code-add-guard,code_review,baseline,0,1.0152,8.95,1005.47,1,0,211,,,,1.0
code-add-guard,code_review,tau=0.0,0,4.5762,3424.41,0.15,153,6,170,0.1059,6,,0.9605
code-add-guard,code_review,tau=3.0,0,4.1335,3113.81,0.14,135,5,164,0.1829,5,,1.0314
code-add-guard,code_review,baseline,1,0.9991,8.09,990.32,1,0,211,,,,1.0
code-add-guard,code_review,tau=0.0,1,4.533,3380.4,0.15,153,6,170,0.1059,6,,0.9605
code-add-guard,code_review,tau=3.0,1,4.0886,3070.54,0.14,135,5,164,0.1829,5,,1.0314
code-add-guard,code_review,baseline,2,1.0038,8.39,994.63,1,0,211,,,,1.0
code-add-guard,code_review,tau=0.0,2,4.5128,3367.21,0.15,153,6,170,0.1059,6,,0.9605
code-add-guard,code_review,tau=3.0,2,4.0914,3077.77,0.14,135,5,164,0.1829,5,,1.0314
code-reformat-whitespace,code_review,baseline,0,0.7697,8.06,760.77,1,0,163,,,,1.0
code-reformat-whitespace,code_review,tau=0.0,0,5.5051,4724.24,0.1,101,13,146,0.3151,13,,0.9125
code-reformat-whitespace,code_review,tau=3.0,0,4.7612,3922.31,0.11,113,10,165,0.3212,10,,1.0714
code-reformat-whitespace,code_review,baseline,1,0.7728,8.53,763.62,1,0,163,,,,1.0
code-reformat-whitespace,code_review,tau=0.0,1,5.5961,4825.87,0.1,101,13,146,0.3151,13,,0.9125
code-reformat-whitespace,code_review,tau=3.0,1,4.9775,4123.82,0.11,113,10,165,0.3212,10,,1.0714
code-reformat-whitespace,code_review,baseline,2,0.8355,11.57,823.24,1,0,163,,,,1.0
code-reformat-whitespace,code_review,tau=0.0,2,5.5051,4737.42,0.1,101,13,146,0.3151,13,,0.9125
code-reformat-whitespace,code_review,tau=3.0,2,4.9629,4111.4,0.11,113,10,165,0.3212,10,,1.0714
code-add-typehints,code_review,baseline,0,0.5774,8.99,567.72,1,0,116,,,,1.0
code-add-typehints,code_review,tau=0.0,0,6.4802,5144.5,0.18,178,11,203,0.1281,11,,1.005
